,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Buy and Hold,Parameter 1,Parameter 2,Week_Type_value,Week_Type,True Labels Strategy,Logistic_Regression_pred,KNN prediction p_1.5,Linear_Model_pred
21,2015-02-03,2015,2,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,5,2015-05,12.14,12.14,12.14,12.14,0.0,6.62,0.009143782393581157,6.570714285714287,6.566818181818181,+,92,92.0,0,1.74,green,106,0,0,18.765
22,2015-02-04,2015,2,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,5,2015-05,12.07,12.07,12.07,12.07,0.0,6.59,-0.005766099480943089,6.574285714285715,6.567826086956522,-,91,92.0,0,1.74,green,106,0,0,18.765
23,2015-02-05,2015,2,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,5,2015-05,12.19,12.19,12.19,12.19,0.0,6.65,0.009942182688919,6.586428571428571,6.57125,+,91,92.0,0,1.74,green,106,0,0,18.765
24,2015-02-06,2015,2,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,5,2015-05,12.11,12.11,12.11,12.11,0.0,6.61,-0.006562991985160083,6.590714285714286,6.5728,-,90,92.0,0,1.74,green,107,0,0,18.765
25,2015-02-09,2015,2,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,6,2015-06,12.08,12.08,12.08,12.08,0.0,6.59,-0.002477173578931735,6.592857142857143,6.5734615384615385,-,89,89.0,0,1.58,green,107,0,0,18.162
26,2015-02-10,2015,2,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,6,2015-06,12.21,12.21,12.21,12.21,0.0,6.66,0.010761606349951823,6.598571428571428,6.576666666666666,+,89,89.0,0,1.58,green,107,0,0,18.162
27,2015-02-11,2015,2,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,6,2015-06,12.22,12.22,12.22,12.22,0.0,6.67,0.0008191287092660371,6.6,6.58,+,89,89.0,0,1.58,green,108,0,0,18.162
28,2015-02-12,2015,2,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,6,2015-06,12.34,12.34,12.34,12.34,0.0,6.73,0.00981985479980807,6.605714285714287,6.585172413793104,+,89,89.0,0,1.58,green,108,0,0,18.162
29,2015-02-13,2015,2,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,6,2015-06,12.38,12.38,12.38,12.38,0.0,6.76,0.003241501529617441,6.613571428571428,6.590999999999998,+,89,89.0,0,1.58,green,109,0,0,18.162
30,2015-02-17,2015,2,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,7,2015-07,12.39,12.39,12.39,12.39,0.0,6.76,0.0008077393912564457,6.627857142857143,6.596451612903227,+,89,89.0,0,1.77,green,109,0,0,18.117
